temperatures,temp_hotplate1,temp_hotplate2,bmpTemperature_internal,bmpTemperature_external,bmpPressure_internal,bmpPressure_external,dhtTemperature_internal,dhtTemperature_external,dhtHumidity_internal,dhtHumidity_external,target_temperatures,fan_speeds,hot_plate_states,flow_rates,camera_status,system_ready,device_status,arduino_port,timestamp,cn2,cn2_optical,image_filename,session_id
"[24.5625, 23.8125, 24.625, 24.0625, 24.25, 23.6875, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",40.5,39.5,27.06,26.3,945.1691,945.7469,24.3,-273.0,49.4,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.550532, 0.026237, 0.273008, 0.695757]",,True,online,COM4,2026-05-20T00:09:56.662196,"[6.191346833174275e-13, 4.895610151229739e-13, 6.175911461555458e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
"[24.5625, 23.8125, 24.625, 24.0625, 24.25, 23.6875, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",41.25,40.25,27.08,26.3,945.1931,945.8122,24.4,-273.0,49.5,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.550532, 0.099765, 0.273008, 0.273693]",,True,online,COM4,2026-05-20T00:09:59.114288,"[6.191661262011495e-13, 4.89585877580995e-13, 6.176225106504119e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
"[24.5625, 23.8125, 24.625, 24.0625, 24.25, 23.6875, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",41.5,40.5,27.08,26.31,945.186,945.8194,24.4,-273.0,49.5,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.536168, 0.081616, 0.305936, 0.494911]",,True,online,COM4,2026-05-20T00:10:00.401636,"[6.190741252985779e-13, 4.895131307999331e-13, 6.175307391112016e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
"[24.5625, 23.8125, 24.625, 24.125, 24.25, 23.6875, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",41.75,40.75,27.08,26.31,945.1981,945.7544,24.4,-273.0,49.5,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.447486, -0.1286, 0.38588, 0.420877]",,True,online,COM4,2026-05-20T00:10:01.692569,"[6.19089975818716e-13, 3.8678570990101857e-13, 6.175465501151124e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
"[24.625, 23.8125, 24.625, 24.125, 24.25, 23.6875, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",42.25,41.5,24.45,139.11,1723.661,945.7772,24.4,-273.0,49.5,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.536168, -0.189466, 0.239522, 0.250612]",,True,online,COM4,2026-05-20T00:10:03.112466,"[7.458191985099179e-13, 3.970324414563689e-13, 6.339066005512611e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
"[24.625, 23.8125, 24.625, 24.0625, 24.25, 23.6875, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",42.5,41.75,27.08,26.31,945.1722,945.7512,24.4,-273.0,49.5,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.592931, -0.011482, 0.322193, -0.106437]",,True,online,COM4,2026-05-20T00:10:04.391130,"[7.265310564431085e-13, 4.894988368262804e-13, 6.175127069736364e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
"[24.625, 23.8125, 24.625, 24.0625, 24.25, 23.75, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",42.75,42.0,24.48,139.11,1300.289,945.7831,24.4,-273.0,49.5,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.634316, -0.049852, 0.338316, 0.735157]",,True,online,COM4,2026-05-20T00:10:05.681878,"[7.455278422361296e-13, 5.022978830152302e-13, 6.370072214135924e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
"[24.625, 23.8125, 24.625, 24.125, 24.25, 23.6875, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",43.5,42.75,24.49,139.11,1723.589,945.7952,24.4,-273.0,49.5,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.564779, -0.273107, 0.46257, 0.202749]",,True,online,COM4,2026-05-20T00:10:07.110508,"[7.454467289715947e-13, 3.9683415949947626e-13, 6.335900212793421e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
"[24.6875, 23.8125, 24.625, 24.0625, 24.25, 23.6875, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",43.75,43.0,27.05,26.33,945.1863,945.8005,24.4,-273.0,49.4,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.634316, -0.169003, 0.401474, 0.226965]",,True,online,COM4,2026-05-20T00:10:08.396889,"[8.424041367099589e-13, 4.893826910646809e-13, 6.173661867405878e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
"[24.6875, 23.8125, 24.625, 24.125, 24.25, 23.6875, 0.0, 23.75, 23.75, 23.75, 23.75, 24.75]",44.25,43.5,24.5,139.11,1300.291,945.7836,24.4,-273.0,49.4,0.0,"[95.0, 95.0]","[255, 255, 255, 255]","[False, False]","[0.634316, -0.1286, 0.477532, 0.5124]",,True,online,COM4,2026-05-20T00:10:09.681316,"[8.644043881314243e-13, 3.9677110039739593e-13, 6.334893403856425e-10, 0.0]",,,session_2026-05-19T18-39-56-152Z
